epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,85.9955,0.47807,0.28622,0.85197,0.99695,1,0.995,0.90739,0.51035,0.25059,0.8323,0.00106933,0.00106933,0.00106933
75,87.0637,0.46712,0.28871,0.85786,0.99681,1,0.995,0.90111,0.5178,0.25767,0.83358,0.00106685,0.00106685,0.00106685
76,88.132,0.45095,0.27579,0.86497,0.99617,1,0.995,0.90439,0.51534,0.25058,0.83187,0.00106437,0.00106437,0.00106437
77,89.2046,0.45483,0.27771,0.85712,0.99586,1,0.995,0.91326,0.50576,0.24788,0.82505,0.0010619,0.0010619,0.0010619
78,90.4716,0.46583,0.27945,0.85511,0.99598,1,0.995,0.90449,0.50572,0.25672,0.8257,0.00105942,0.00105942,0.00105942
79,91.5309,0.47617,0.29196,0.86046,0.99565,1,0.995,0.91076,0.51055,0.25184,0.83264,0.00105695,0.00105695,0.00105695
80,92.6052,0.46264,0.27791,0.86159,0.99567,1,0.995,0.9061,0.51288,0.25667,0.83558,0.00105448,0.00105448,0.00105448
81,93.7004,0.46097,0.27717,0.85291,0.99621,1,0.995,0.91462,0.4973,0.25452,0.82634,0.001052,0.001052,0.001052
82,94.8294,0.4789,0.28799,0.86663,0.9962,1,0.995,0.90169,0.49457,0.24123,0.82157,0.00104952,0.00104952,0.00104952
83,95.8974,0.49131,0.29496,0.86543,0.99601,1,0.995,0.90568,0.53593,0.24491,0.83756,0.00104705,0.00104705,0.00104705
84,96.9763,0.47549,0.27429,0.86677,0.99603,1,0.995,0.88717,0.55812,0.24855,0.84984,0.00104458,0.00104458,0.00104458
85,98.0574,0.49048,0.29027,0.86568,0.99613,1,0.995,0.90516,0.51003,0.23376,0.8324,0.0010421,0.0010421,0.0010421
86,99.1212,0.49415,0.29419,0.87202,0.9964,1,0.995,0.89798,0.49482,0.2352,0.81819,0.00103962,0.00103962,0.00103962
