epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,680.199,0.63463,0.32513,0.7937,0.997,1,0.99225,0.86481,0.63929,0.37121,0.79673,0.00168716,0.00168716,0.00168716
81,688.718,0.63478,0.33899,0.79376,0.99683,0.9971,0.99213,0.866,0.63114,0.37028,0.79728,0.0016832,0.0016832,0.0016832
82,696.998,0.64639,0.33592,0.78885,0.99394,1,0.9923,0.86699,0.61169,0.34442,0.79768,0.00167924,0.00167924,0.00167924
83,705.339,0.62073,0.32573,0.78599,0.99689,1,0.99231,0.85535,0.64077,0.37159,0.7991,0.00167528,0.00167528,0.00167528
84,713.534,0.64145,0.32821,0.7881,0.99691,1,0.99237,0.84952,0.6462,0.37395,0.80019,0.00167132,0.00167132,0.00167132
85,722.025,0.63513,0.32333,0.78901,0.99688,1,0.99251,0.8531,0.62061,0.358,0.79856,0.00166736,0.00166736,0.00166736
86,730.263,0.65253,0.32825,0.79725,0.99685,1,0.99228,0.85279,0.64438,0.37912,0.7967,0.0016634,0.0016634,0.0016634
87,738.663,0.64575,0.32985,0.78706,0.99689,1,0.9922,0.8546,0.64103,0.34514,0.79814,0.00165944,0.00165944,0.00165944
88,746.82,0.65365,0.32887,0.78802,0.99697,1,0.9922,0.86251,0.62745,0.36244,0.79921,0.00165548,0.00165548,0.00165548
89,754.934,0.63185,0.33005,0.77901,0.99689,1,0.99223,0.85564,0.64118,0.34664,0.80115,0.00165152,0.00165152,0.00165152
90,763.338,0.66112,0.33491,0.78935,0.99689,1,0.9922,0.85499,0.63088,0.34965,0.79929,0.00164756,0.00164756,0.00164756
91,771.579,0.63098,0.33377,0.78558,0.99693,1,0.99217,0.86572,0.62481,0.34498,0.79599,0.0016436,0.0016436,0.0016436
92,779.893,0.62988,0.32035,0.79187,0.99396,1,0.99242,0.86605,0.61184,0.34999,0.79773,0.00163964,0.00163964,0.00163964
93,788.091,0.62605,0.32247,0.79089,0.99402,1,0.99233,0.85681,0.63414,0.34445,0.79886,0.00163568,0.00163568,0.00163568
94,796.195,0.64067,0.32658,0.79032,0.99634,1,0.99246,0.85828,0.63791,0.3543,0.79997,0.00163172,0.00163172,0.00163172
95,804.256,0.64025,0.32867,0.7895,0.99688,1,0.99234,0.85232,0.63169,0.3593,0.79535,0.00162776,0.00162776,0.00162776
96,812.536,0.6476,0.33231,0.7834,0.99693,1,0.99234,0.86728,0.60519,0.34551,0.7947,0.0016238,0.0016238,0.0016238
97,820.688,0.62106,0.32248,0.77538,0.99691,1,0.99214,0.85816,0.62538,0.3368,0.79866,0.00161984,0.00161984,0.00161984
98,828.822,0.64405,0.33119,0.79018,0.99686,1,0.99266,0.85505,0.64225,0.36056,0.79994,0.00161588,0.00161588,0.00161588
99,837.181,0.64183,0.3282,0.7932,0.99689,1,0.99231,0.86451,0.63151,0.35623,0.80043,0.00161192,0.00161192,0.00161192
100,845.328,0.6584,0.33527,0.78084,0.99698,0.9971,0.99216,0.86025,0.6262,0.37484,0.79845,0.00160796,0.00160796,0.00160796
101,853.46,0.63741,0.33097,0.79285,0.99423,0.99972,0.99228,0.85496,0.65885,0.38686,0.80068,0.001604,0.001604,0.001604
102,861.644,0.6497,0.33825,0.78443,0.99707,0.9971,0.99213,0.84998,0.65503,0.38031,0.80131,0.00160004,0.00160004,0.00160004
103,869.927,0.6475,0.3281,0.79172,0.99711,0.9998,0.99217,0.86584,0.62614,0.34415,0.79991,0.00159608,0.00159608,0.00159608
104,878.119,0.64479,0.32912,0.78717,0.99685,1,0.99223,0.86272,0.62688,0.32221,0.8007,0.00159212,0.00159212,0.00159212
105,886.259,0.61209,0.31881,0.78572,0.99685,1,0.99289,0.85817,0.62215,0.34117,0.79871,0.00158816,0.00158816,0.00158816
106,894.469,0.62198,0.32501,0.78451,0.99691,1,0.9924,0.86578,0.61796,0.36084,0.79735,0.0015842,0.0015842,0.0015842
107,902.563,0.60881,0.31423,0.781,0.99689,1,0.99251,0.87041,0.61049,0.35606,0.79624,0.00158024,0.00158024,0.00158024
108,910.711,0.63348,0.32037,0.79278,0.99689,1,0.99217,0.85672,0.63389,0.36187,0.79675,0.00157628,0.00157628,0.00157628
109,918.942,0.63177,0.32585,0.79164,0.99689,1,0.99228,0.85671,0.61294,0.33782,0.79967,0.00157232,0.00157232,0.00157232
110,927.019,0.60984,0.31366,0.78493,0.9969,1,0.99228,0.84754,0.65708,0.36129,0.80026,0.00156836,0.00156836,0.00156836
111,935.126,0.63484,0.32396,0.78308,0.99691,1,0.9922,0.85127,0.65102,0.36524,0.79947,0.0015644,0.0015644,0.0015644
112,943.46,0.62721,0.32445,0.79033,0.99698,1,0.9922,0.86382,0.61374,0.34459,0.79913,0.00156044,0.00156044,0.00156044
113,951.584,0.62766,0.32107,0.78143,0.9969,1,0.99225,0.8643,0.63148,0.33743,0.79885,0.00155648,0.00155648,0.00155648
114,959.638,0.64018,0.3279,0.79038,0.9969,1,0.99243,0.8746,0.60649,0.3266,0.79848,0.00155252,0.00155252,0.00155252
115,967.804,0.6348,0.32074,0.793,0.99693,1,0.99231,0.86004,0.64048,0.34884,0.7998,0.00154856,0.00154856,0.00154856
116,976.088,0.62771,0.32505,0.78116,0.99691,1,0.9928,0.86371,0.61155,0.34877,0.79615,0.0015446,0.0015446,0.0015446
117,984.187,0.62524,0.32247,0.79476,0.99693,1,0.99214,0.85832,0.62146,0.35599,0.79639,0.00154064,0.00154064,0.00154064
118,992.347,0.61807,0.31799,0.79068,0.99711,0.99995,0.99214,0.8582,0.63491,0.35114,0.79716,0.00153668,0.00153668,0.00153668
119,1000.6,0.61494,0.31885,0.78535,0.99403,1,0.99235,0.86032,0.61978,0.34431,0.79753,0.00153272,0.00153272,0.00153272
120,1008.71,0.63526,0.31513,0.7979,0.99664,1,0.99228,0.85868,0.62587,0.33974,0.79761,0.00152876,0.00152876,0.00152876
121,1016.92,0.60718,0.3153,0.78415,0.99684,1,0.99341,0.87023,0.60431,0.34065,0.79839,0.0015248,0.0015248,0.0015248
122,1025.28,0.62696,0.32562,0.79037,0.99691,1,0.99249,0.86636,0.6265,0.3424,0.7956,0.00152084,0.00152084,0.00152084
123,1033.82,0.61278,0.31257,0.78978,0.99691,1,0.99231,0.86347,0.62225,0.33785,0.80001,0.00151688,0.00151688,0.00151688
124,1042.08,0.63095,0.31953,0.78331,0.99692,1,0.99231,0.86963,0.61547,0.33608,0.79565,0.00151292,0.00151292,0.00151292
125,1050.28,0.62057,0.31498,0.78625,0.99699,1,0.99234,0.85702,0.62828,0.34184,0.79742,0.00150896,0.00150896,0.00150896
126,1058.58,0.60391,0.30856,0.78096,0.99698,1,0.99217,0.86161,0.6072,0.33087,0.79574,0.001505,0.001505,0.001505
127,1067.02,0.60302,0.30928,0.78442,0.99688,1,0.99246,0.86164,0.64018,0.35623,0.79853,0.00150104,0.00150104,0.00150104
128,1075.22,0.60416,0.30738,0.78461,0.99695,1,0.99249,0.8704,0.60423,0.34176,0.79677,0.00149708,0.00149708,0.00149708
129,1083.56,0.62094,0.31368,0.7818,0.99694,1,0.99269,0.86175,0.61401,0.34867,0.795,0.00149312,0.00149312,0.00149312
130,1091.75,0.60865,0.32057,0.7836,0.99672,1,0.99275,0.85951,0.63944,0.35613,0.7998,0.00148916,0.00148916,0.00148916
131,1100.16,0.62545,0.31171,0.78679,0.99686,1,0.99251,0.85062,0.63014,0.33503,0.79975,0.0014852,0.0014852,0.0014852
132,1108.43,0.61617,0.3175,0.79419,0.99653,1,0.99225,0.8605,0.62129,0.33156,0.79774,0.00148124,0.00148124,0.00148124
133,1116.67,0.62383,0.31693,0.78874,0.99686,1,0.99217,0.86203,0.59453,0.32857,0.79624,0.00147728,0.00147728,0.00147728
134,1124.86,0.61095,0.3133,0.7869,0.9969,1,0.99228,0.87025,0.61566,0.34098,0.7965,0.00147332,0.00147332,0.00147332
135,1133.3,0.60609,0.31721,0.78122,0.99688,1,0.99234,0.87471,0.60817,0.34047,0.79695,0.00146936,0.00146936,0.00146936
136,1141.6,0.61679,0.31421,0.7853,0.99688,1,0.99237,0.85518,0.62972,0.35475,0.79648,0.0014654,0.0014654,0.0014654
137,1149.86,0.63347,0.31646,0.7906,0.99689,1,0.99234,0.8705,0.61683,0.33951,0.79731,0.00146144,0.00146144,0.00146144
138,1158.11,0.61981,0.31079,0.78513,0.99694,1,0.99249,0.8705,0.60632,0.35129,0.79782,0.00145748,0.00145748,0.00145748
139,1166.5,0.60482,0.31008,0.78904,0.99695,1,0.99257,0.86424,0.62699,0.3358,0.79673,0.00145352,0.00145352,0.00145352
140,1174.59,0.59553,0.30916,0.78376,0.99711,0.99978,0.99246,0.86549,0.61152,0.36153,0.79559,0.00144956,0.00144956,0.00144956
